example,dataset,model,class,class_name,multi_imv_mean,multi_imv_std,brier_loss_mean,brier_loss_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std
multi_imv_dry_bean,Dry Bean,xgboost,2,CALI,0.1289618067249978,0.0001427674059404,0.0102275157778008,0.0001796979295421,0.9864815222981412,0.0004710744755876,0.9412378201876092,0.0029344165184362,0.9461963190184048,0.0021844090295667
multi_imv_dry_bean,Dry Bean,xgboost,3,DERMASON,0.3274237447129974,0.0001770082368556,0.0290254467446135,0.0001380357348658,0.957468224230402,0.0006511299951162,0.90942730898554,0.001728681610182,0.9293006204173716,0.0015732457544144
multi_imv_dry_bean,Dry Bean,xgboost,4,HOROZ,0.157691473560481,9.710003734960774e-05,0.0096685167298192,0.0001001842208735,0.9875909191095438,0.0002865434169084,0.9595132653224298,0.0015317890981597,0.9525933609958508,0.0013657273622498
multi_imv_dry_bean,Dry Bean,xgboost,5,SEKER,0.1670691257575078,0.0001281874274189,0.0108198531634097,0.0001690252790316,0.985658658438028,0.0004419070288693,0.9548598786861024,0.0019474153961927,0.9485446472619636,0.0019184657895859
multi_imv_dry_bean,Dry Bean,xgboost,6,SIRA,0.2098017561296941,0.0001966993452066,0.0347493840636364,0.0001610571672005,0.9503636764381748,0.0006902530416066,0.8755881351279224,0.0021861638499801,0.8668816388467375,0.0024808887795776
multi_imv_nursery,Nursery,lightgbm,0,not_recom,0.5198478286606268,2.1324745460201335e-07,1.1902837971104378e-08,8.773332925783893e-10,1.0,0.0,1.0,0.0,1.0,0.0
multi_imv_nursery,Nursery,lightgbm,1,priority,0.4947136783725384,0.0002097472243498,0.0104914422639035,0.0002796968900636,0.9976405384006334,0.0006027596695115,0.9997875515755436,0.0002827536824802,0.9932255039849978,0.0016628728957025
multi_imv_nursery,Nursery,lightgbm,2,spec_prior,0.4560651415387601,0.00020373954111,0.0104913847370965,0.0002796845120538,0.9976405384006334,0.0006027596695115,0.99290529617516,0.0017304483274799,0.9997774480712168,0.0002960482195197
multi_imv_nursery,Nursery,logistic_regression,0,not_recom,0.5196007701270114,2.234262029252252e-06,3.9185076304404425e-06,6.1868540882792e-08,1.0,0.0,1.0,0.0,1.0,0.0
multi_imv_nursery,Nursery,logistic_regression,1,priority,0.3098416874806858,9.999945301591348e-05,0.1345047768459695,5.311811477749497e-05,0.7874901029295328,0.0005278437582475,0.6819981537871,0.0007392403196011,0.6948195030473512,0.0012426027454944
multi_imv_nursery,Nursery,logistic_regression,2,spec_prior,0.2756083404407284,9.759768932877509e-05,0.1345055391623573,5.306881745271091e-05,0.7874901029295328,0.0005278437582475,0.6715533295706462,0.0009612324764761,0.6582344213649851,0.0009853345533972
multi_imv_nursery,Nursery,xgboost,0,not_recom,0.5197867779593951,8.432413438360028e-07,3.928205388493394e-07,1.3312769065059114e-08,1.0,0.0,1.0,0.0,1.0,0.0
multi_imv_nursery,Nursery,xgboost,1,priority,0.4865891947812318,0.0001794930355523,0.0167414471963247,0.000167272314211,0.99403008709422,0.0005254630927313,0.9992376287567688,0.0002703843591808,0.983075480543835,0.0015422947074824
multi_imv_nursery,Nursery,xgboost,2,spec_prior,0.4481423742876232,0.0001735958762542,0.0167426068459467,0.0001668629437934,0.99403008709422,0.0005254630927313,0.982448177120489,0.0015708554156782,0.9992087042532146,0.0002807350208692
